resnet18,L,200,186630278
resnet18,L,600,95641452
resnet18,L,1000,84400615
resnet18,L,1400,77776289
alexnet,L,200,60417949
alexnet,L,600,29039154
alexnet,L,1000,22463352
alexnet,L,1400,21048009
vgg16,L,200,1083954577
vgg16,L,600,382711681
vgg16,L,1000,249127790
vgg16,L,1400,194216460
squeezenet1_0,L,200,90680811
squeezenet1_0,L,600,51230485
squeezenet1_0,L,1000,39114043
squeezenet1_0,L,1400,35933049
googlenet,L,200,204115249
googlenet,L,600,137793616
googlenet,L,1000,122961046
googlenet,L,1400,110133415
mobilenet_v2,L,200,180507607
mobilenet_v2,L,600,98088688
mobilenet_v2,L,1000,81841730
mobilenet_v2,L,1400,70087397
resnet18,B,800,72685219
resnet18,B,1200,71019794
resnet18,B,1600,68218338
resnet18,B,2000,67876713
alexnet,B,800,21253427
alexnet,B,1200,19490303
alexnet,B,1600,17755110
alexnet,B,2000,17843567
vgg16,B,800,207924585
vgg16,B,1200,149793363
vgg16,B,1600,127692823
vgg16,B,2000,111623912
squeezenet1_0,B,800,40051864
squeezenet1_0,B,1200,36066085
squeezenet1_0,B,1600,31781225
squeezenet1_0,B,2000,29211613
googlenet,B,800,110622034
googlenet,B,1200,109513255
googlenet,B,1600,103002083
googlenet,B,2000,98260413
mobilenet_v2,B,800,69947809
mobilenet_v2,B,1200,65174320
mobilenet_v2,B,1600,61478968
mobilenet_v2,B,2000,57096253
